filepath,label,split,width,height,mean_intensity
test\cat\cat_0009.jpg,cat,test,64,64,0.657925155739379
test\cat\cat_0010.jpg,cat,test,64,64,0.454074116625817
test\dog\dog_0009.jpg,dog,test,64,64,0.27456597222222223
test\dog\dog_0010.jpg,dog,test,64,64,0.5376933976715687
train\cat\cat_0001.jpg,cat,train,64,64,0.39249163858251634
train\cat\cat_0002.jpg,cat,train,64,64,0.43109202665441176
train\cat\cat_0003.jpg,cat,train,64,64,0.4405898948120915
train\cat\cat_0004.jpg,cat,train,64,64,0.44250855290032676
train\cat\cat_0005.jpg,cat,train,64,64,0.4543865527982026
train\cat\cat_0006.jpg,cat,train,64,64,0.4636179406658497
train\dog\dog_0001.jpg,dog,train,64,64,0.45744676776960785
train\dog\dog_0002.jpg,dog,train,64,64,0.3946962443831699
train\dog\dog_0003.jpg,dog,train,64,64,0.490216184129902
train\dog\dog_0004.jpg,dog,train,64,64,0.32608506944444443
train\dog\dog_0005.jpg,dog,train,64,64,0.3525945925245098
train\dog\dog_0006.jpg,dog,train,64,64,0.42087322559232027
val\cat\cat_0007.jpg,cat,val,64,64,0.4362260008169934
val\cat\cat_0008.jpg,cat,val,64,64,0.49385308159722224
val\dog\dog_0007.jpg,dog,val,64,64,0.4047991983251634
val\dog\dog_0008.jpg,dog,val,64,64,0.5524484272875817
